gene
Cd72
Adgrb3
Adgrb1
Adgrb2
Bcam
C1ql1
C1ql2
C1ql3
Cdh16
Cdh17
Clstn1
Clstn2
Clstn3
Cdhr1
Cdhr2
Cdhr3
Cdhr4
Cdhr5
Dchs1
Dchs2
Fat1
Fat2
Fat3
Fat4
Pcdh15
Celsr1
Celsr2
Celsr3
dsc1
dsc2
dsc3
Cdh1
Cdh15
Cdh2
Cdh3
Cdh6
Cdh12
Cdh18
Cdh7
Cdh8
Cdh11
Cdh9
Cdh10
Cdh19
Cdh20
Cdh22
Cdh24
Cdh4
Cdh5
Cdh13
Cdh26
Cdh23
Cbln4
Cbln1
Cbln2
Cbln3
Clec4a
Crtam
Dscam
Dscaml
Dag1
Efna1
Efna2
Efna3
Efna4
Efna5
Efnb1
Efnb2
Efnb3
Epha1
Epha10
Epha2
Epha3
Epha4
Epha5
Epha6
Epha7
Epha8
Ephb1
Ephb2
Ephb3
Ephb4
Ephb5
Ephb6
Erbb3
Erbb1
Erbb2
Erbb4
Fgfr4
Gpc4
Fcgr2
Fstl5
Icam5
Igsf9b
Igsf11
Fstl4
A1bg
Igsf9
Igsf21
Ncam1
Cadm1
Cadm2
Cadm3
Cadm4
Cntn1
Cntn2
Cntn3
Cntn4
Cntn5
Cntn6
Cntnap1
Cntnap2
Cntnap4
Cntnap5c
Dcc
Igdcc3
Neo1
Igdcc4
Prtg
Opcml
Lsamp
Ntm
Iglon5
Negr1
B2m
Clmp
H2-d
H2-d1
H2-k
H2-k1
H2-l
H2d
H2k
H2l
Icam1
Icam2
Icam3
Icam4
Il1r1
Irpl1
Lilra3
Lilrb3
Pira
Pirb
Ilrap
L1cam
Nfasc
Chl1
Igfbpl1
Igfbp7
Nrcam
Islr2
Igsf10
Mdga1
Mdga2
Nectin1
Nectin2
Nectin3
Nectin4
Nrg1
Nrg2
Nrg3
Nrg4
Nrg5
Nrg6
Robo1
Robo2
Robo3
Robo4
Sema3f
Sema3b
Sdk1
Sdk2
Oscar
Treml2
Acan
Adamtsl1
Adgra2
Adgra3
Adgrf5
Ager
Alcam
Alpk2
Alpk3
Bcan
