gene
Cacnb1
Cacnb3
Cacna1e
Cacna2d1
Cacna1d
Cacnb4
Cacnb2
Cacna1a
Cacna1b
Cacna1c
Cacna1s
Cacfd1
Kcnn3
Cacna1f
Cacna1i
Kcnn2
Cacng1
Cacng3
Cacng4
Cacng6
Cacng7
Cacng8
Cacng2
Cacng5
Cacna2d3
Kcnma1
Cacna1g
Cacna1h
Cacna2d4
Cacna2d2
Ryr3
Cbarp
Trpv6
Kcnn4
Kcnn1
Cracr2b
Cracr2a
Ryr1
Kcnmb4
Kcnmb1
Kcnmb2
Kcnmb3
Tmem37
Rrad
Clca1
Clca3b
Clca3a2
Clca3a1
Ano1
Clca2
Kcnmb4os1
Kcnmb4os2
Kcnu1
Clca4a
Clca4c-Ps
Kcnd3
Kcnrg
Kcnk7
Kcmf1
Kctd14
Kctd20
Kctd10
Kctd4
Kctd5
Kctd2
Kctd1
Kctd6
Kctd7
Kctd8
Kctd3
Kctd11
Kctd13
Kctd15
Kctd17
Kctd16
Kctd19
Kctd21
Kctd18
Kctd9
Kctd12
Kcna1
Hcn1
Kcnt1
Kcnt2
Kcnv1
Kcnv2
Kcnk1
Kcnk2
Kcnk3
Kcnk4
Kcnk5
Kcnk10
Kcnk13
Kcnk12
Kcnk18
Kcnk16
Kcnk15
Kcnk9
Kctd12b
Kcnq1
Kcna10
Kcnab2
Kcnab3
Kcnj12
Kcnj8
Kcnj10
Kcnq3
Kcnj3
Kcnj4
Kcnj2
Kcnj5
Kcnj6
Kcnj11
Kcnj9
Kcnj14
Kcnq5
Kcnq4
Kcnj1
Kcnq2
Kcnj15
Kcnj16
Kcnj13
Kcng4
Kcng3
Kcnf1
Kcng1
Kcng2
Kcna2
Kcna3
Kcna4
Kcna5
Kcna6
Kcna7
Kcnb1
Kcnc1
Kcnc2
Kcnc3
Kcnc4
Kcnd1
Kcnb2
Kcnd2
Kcne1
Kcne2
Kcne3
Kcne4
Kcnh1
Kcnh2
Kcnh3
Kcnh8
Kcnh7
Kcnh6
Kcnh5
Kcnh4
Kcnk6
Hcn4
Hcn3
Kcns3
Kcne1l
Kcnab1
Kcnd3os
Kcna1-Rs1
Kcna1-Rs2
Kcna1-Rs3
Kcna1-Rs4
Kcnd1-Rs1
Kcnab3os
Kcnip1
Kcnip4
Kcnip2
Kcnip3
Kcns2
Kcns1
Hcn2
Scnm1
Scn2a
Scn7a
Scnn1g
Scnn1b
Sclt1
Scnn1a
Scn4b
Scn11a
Scn1a
Scn1b
Scn3a
Scn4a
Scn5a
Scn3b
Scn8a
Scn2b
Scn9a
Scn10a
Nalcn
Asic5
Clcn3
Clcnkb
Clcc1
Clcn4
Clcnka
Clcn2
Clcn5
Clns1a
Clcn1
Clca4b
Clns1a-Ps1
Pacc1
Clns1a-Rs1
Clns1a-Rs2
Clic3
Clic5
Clic6
Clic1
Clcn7
Clcn6
Clic4
Clcnk2
Catsperb
Catsperd
Catsperg
Catsper1
Catsper2
Catsper3
Catsper4
Itpr1
Itpr2
Itpr3
Ryr2
Tpcn1
Tpcn2
Kcnj18
Kcnk17
Asic1
Asic2
Asic3
Asic4
Scnn1d
Mip
Aqp1
Aqp2
Aqp3
Aqp4
Aqp5
Aqp6
Aqp7
Aqp8
Aqp9
Aqp10
Aqp11
Aqp12a
Aqp12b
Vdac1
Vdac2
Vdac3
Ano2
Ano3
Ano4
Ano5
Ano6
Ano7
Ano8
Ano9
Ano10
Best1
Best2
Best3
Best4
Cftr
Clic2
Bsnd
Lrrc8a
Lrrc8b
Lrrc8c
Lrrc8d
Lrrc8e
Gja1
Gja3
Gja4
Gja5
Gja6p
Gja8
Gja9
Gja10
Gjb1
Gjb2
Gjb3
Gjb4
Gjb5
Gjb6
Gjb7
Gjc1
Gjc2
Gjc3
Gjd2
Gjd3
Gjd4
Gje1
Scn2a1
Clcn4.2
