gene,Symbol,
Adnp,,
Aebp1,,
Aebp2,,
Nr0b1,,
Ahr,,
Ahrr,,
Aip,,
Aire,,
Alx3,,
Alx4,,
Ank1,,
Ankfy1,,
Nr2f2,,
Ar,,
Phox2a,,
Arnt,,
Arnt2,,
Arntl,,
Arx,,
Atbf1,,
Atf1,,
Atf2,,
Atf3,,
Atf4,,
Atm,,
Atoh1,,
Neurod6,,
Neurod4,,
Neurog2,,
Neurog3,,
Hnrpd,,
Bach1,,
Bach2,,
Bapx1,,
Bard1,,
Barx1,,
Barx2,,
Bcl6b,,
Bcl3,,
Bcl6,,
Prdm1,,
Bmi1,,
Bnc1,,
Smyd1,,
Brca1,,
Zfp36l1,,
Klf5,,
C2ta,,
Camk4,,
Nr1i3,,
Catnb,,
Runx2,,
Runx1,,
Cbfa2t1h,,
Runx3,,
Cbfb,,
Cbx2,,
Cbx3,,
Cbx4,,
Ccnk,,
Ccnt1,,
Cdk2,,
Cdk4,,
Cdk7,,
Cdkn2a,,
Cdkn2b,,
Cdkn2c,,
Cdkn2d,,
Cdx1,,
Cdx2,,
Cdx4,,
Cebpa,,
Cebpz,,
Cebpb,,
Cebpd,,
Cebpg,,
Chgb,,
Chx10,,
Cited1,,
Clock,,
Cnbp1,,
Cops2,,
Creb1,,
Creb3,,
Crebbp,,
Crebl1,,
Crem,,
Crx,,
Ctbp2,,
Ctcf,,
Cutl1,,
Cutl2,,
Dach1,,
Daxx,,
Dbp,,
Dbx1,,
Pcbd,,
Ddef1,,
Ddit3,,
Twist2,,
Dlx1,,
Dlx2,,
Dlx3,,
Dlx4,,
Dlx5,,
Dlx6,,
Dnmt1,,
Dnmt3a,,
Dr1,,
Drg1,,
Arid3a,,
E2f1,,
E2f3,,
E2f5,,
E4f1,,
Ebf1,,
Ebf2,,
Ebf3,,
Eed,,
Egr1,,
Egr2,,
Egr3,,
Egr4,,
Ehf,,
Elf1,,
Elf3,,
Elf5,,
Elk1,,
Elk3,,
Elk4,,
Ell,,
Emx1,,
Emx2,,
En1,,
En2,,
Eomes,,
Epas1,,
Nr2f6,,
Nr2f1,,
Ercc2,,
Ercc3,,
Erf,,
Erg,,
Esr1,,
Esr2,,
Esx1,,
Etsrp71,,
Etv1,,
Etv6,,
Evi1,,
Bcl11a,,
Evx1,,
Evx2,,
Ewsh,,
Ezh1,,
Ezh2,,
Fah,,
Fusip1,,
Foxh1,,
Fem1a,,
Fem1b,,
Fhl2,,
Foxi1,,
Foxc2,,
Foxm1,,
Foxn2,,
Foxd4,,
Foxf2,,
Fkhl18,,
Foxb2,,
Foxl1,,
Fli1,,
Fos,,
Fosb,,
Fosl1,,
Fosl2,,
Fxr1h,,
Gabpa,,
Gabpb1,,
Gas7,,
Gata1,,
Gata2,,
Gata3,,
Gata4,,
Gata5,,
Gata6,,
Gbx2,,
Mtpn,,
Gcm1,,
Gcn5l2,,
