gene
Gpr3
Gpr12
Gpr182
P2ry14
Gpr65
Grk5
Adgrg1
Adgrf2
P2ry13
Grk6
Adgrg7
Adgrf1
Adgrg4
Adgrf3
Adgrg5
Adgrd1
Adgrv1
Lgr5
Grk4
Adgrg3
Adgra3
Adgrg2
Adgrf4
Adgrf5
Adgra2
Adgra1
Gper1
Adgrg6
P2ry12
P2ry2
P2ry1
P2ry10b
P2ry10
P2ry6
P2ry4
Gpr89
Gpr19
Gpr27
Gpr33
Gpr34
Gpr155
Gpr153
Gpr137c
Gpr173
Gpr39
Gpr15
Gpr160
Gpr143
Gpr18
Gpr83
Gpr1
Gpr158
Gpr61
Gpr82
Gpr26
Gpr68
Gpr20
Gpr75
Gpr150
Gpr151
Gpr21
Gpr4
Gpr183
Gpr171
Gpr179
Gpr149
Gpr157
Gpr156
Gpr108
Gpr180
Gpr146
Gpr137b
Gpr84
Gpr87
Gpr45
Gpr63
Gpr107
Gpr119
Gpr142
Gpr141
Gpr135
Gpr161
Gpr55
Gpr101
Gpr174
Gpr139
Gpr152
Gpr176
Gpr25
Gpr22
Gpr132
Gpr88
Gpr37
Gpr162
Gpr50
Gpr85
Rgr
Gpr35
Gpr52
Gpr17
Gpr137
Gpr6
Gpr62
Lgr4
Gpr141b
Gpr165
Grk1
Adgre5
Adgre1
Grk2
Grk3
Adgrb3
Adgrl3
Adgrb2
Adgrl4
Adgrl1
Adgrb1
Adgrl2
Gpr31b
Adgrd2-Ps
Adgre4
Mrgpra3
Gpr37l1
Gprasp1
Gprasp2
Lgr6
Gpr31
Gprc5c
Gprc6a
Gprc5a
Gprc5d
Gprc5b
Cmklr1
Npbwr1
F2rl1
Nmur1
Htr1a
Uts2r
Hcar1
Ffar2
Tas1r1
Tas1r2
Mrgprh
Sucnr1
Qrfpr
Ffar1
Npffr2
Prokr1
Kiss1r
Gpbar1
Lpar6
Pgr15l
Gpr137b-Ps
Rxfp2
Gpr31a
Gpr31c
S1pr4
S1pr2
Gpcr19-Rs2
